Order_ID,Customer_Name,City,Region,Category,Product,Quantity,Unit_Price,Total_Sales,Profit,Payment_Method,Order_Date
ORD00001,Mrs. Carol Mann,Sabrinaview,North,Electronics,Laptop,5,2106,10530,1114.1,Net Banking,2024-04-14
ORD00002,Stacy Hall,Tammytown,North,Electronics,Laptop,2,1891,3782,409.08,Cash,2025-09-08
ORD00003,Tyler Wolf,West Tyronemouth,South,Sports,Gym Gloves,4,3779,15116,2982.64,Net Banking,2024-01-07
ORD00004,Lindsey Moore,Brentstad,North,Clothing,Jacket,3,1863,5589,1616.92,UPI,2024-12-10
ORD00005,Earl Bryant,Port Lisa,West,Groceries,Rice,6,2917,17502,3516.7,UPI,2024-02-14
ORD00006,Debra Price,New Charles,East,Groceries,Rice,9,2501,22509,5792.72,Cash,2025-09-25
ORD00007,Erik Bailey,Josephview,North,Electronics,Laptop,4,2470,9880,2927.5,Net Banking,2024-08-26
ORD00008,Alex Ross,Port Codyville,East,Clothing,Shoes,6,1432,8592,1224.75,UPI,2024-08-02
ORD00009,Justin Cervantes,Rileyberg,East,Sports,Cricket Bat,9,2105,18945,1721.17,Cash,2025-01-23
ORD00010,Corey Mccoy,East John,East,Clothing,T-Shirt,4,362,1448,363.83,UPI,2025-02-14
ORD00011,Kathleen Hale,Jordanside,West,Furniture,Sofa,4,4189,16756,2495.1,Cash,2025-10-20
ORD00012,Ronald Banks,East Katelyn,West,Clothing,Jeans,4,4698,18792,3471.72,Net Banking,2025-08-21
ORD00013,Kyle Taylor,North Melissa,North,Clothing,Jeans,3,4274,12822,2223.07,Cash,2024-02-18
ORD00014,Tracy Rojas,Evanston,West,Furniture,Bed,10,620,6200,906.39,Card,2025-09-02
ORD00015,Jennifer Harrell,Hansenshire,East,Sports,Football,2,4498,8996,2138.52,UPI,2025-10-18
ORD00016,Emily Miller MD,New Lisa,South,Clothing,Shoes,3,3816,11448,581.69,UPI,2024-09-26
ORD00017,Christina Ford,Tuckerhaven,North,Clothing,Jeans,3,3163,9489,2283.32,Card,2025-07-06
ORD00018,Sarah Stewart,East Gary,South,Groceries,Rice,2,3073,6146,1657.46,UPI,2024-11-10
ORD00019,Pamela Medina,New Lisa,South,Furniture,Chair,2,4081,8162,2073.2,Cash,2025-06-29
ORD00020,Edward Holloway,South Barbaramouth,South,Groceries,Milk,5,4422,22110,5927.87,Cash,2025-03-09
ORD00021,Ricky Henderson,North Ashleyfurt,North,Clothing,Shoes,6,3688,22128,6083.07,Cash,2025-04-07
ORD00022,Sara Vaughan,West Kellyfurt,South,Furniture,Chair,6,272,1632,321.63,UPI,2024-08-23
ORD00023,Sharon Simpson,North Elijah,North,Electronics,Laptop,4,652,2608,720.73,Cash,2024-12-04
ORD00024,Anna Chapman,Adamsview,West,Clothing,Shoes,4,4517,18068,1501.05,Cash,2025-08-07
ORD00025,Zachary Graham,Gonzalesfurt,East,Groceries,Eggs,4,872,3488,258.92,Net Banking,2025-03-17
ORD00026,Kristina Evans,North Joshuamouth,North,Groceries,Eggs,1,906,906,59.03,Cash,2024-12-13
ORD00027,Mary Lamb,Carterville,East,Furniture,Table,9,3775,33975,2889.42,Net Banking,2024-07-06
ORD00028,William Lam,Shieldsmouth,North,Furniture,Chair,8,4608,36864,2745.53,UPI,2025-10-29
ORD00029,Linda Riggs,New Bryan,North,Furniture,Table,7,4078,28546,4862.51,Cash,2025-02-14
ORD00030,Christopher Davis,Anthonytown,East,Groceries,Rice,7,2272,15904,4479.04,Net Banking,2025-04-10
ORD00031,Felicia Cline,Barbaraport,North,Sports,Gym Gloves,3,1655,4965,616.54,Card,2024-02-29
ORD00032,Jennifer Christensen,Bettyview,South,Electronics,Laptop,10,4005,40050,7037.29,UPI,2025-06-27
ORD00033,Kelly Peterson,Scottborough,South,Sports,Football,3,661,1983,394.14,Net Banking,2025-11-22
ORD00034,James Galvan,New Michael,West,Electronics,Phone,10,4970,49700,2978.79,Card,2024-03-24
ORD00035,Jennifer Franco,Port Matthewville,East,Clothing,Jeans,6,2055,12330,1435.26,Net Banking,2024-05-14
ORD00036,Martin Smith,Mcintyreburgh,North,Clothing,T-Shirt,1,3854,3854,791.19,UPI,2025-07-30
ORD00037,Laura Young,Port Daniel,North,Sports,Cricket Bat,9,2272,20448,1699.52,Cash,2024-12-23
ORD00038,Gregory Lopez,Lake Luis,East,Clothing,Jacket,3,3689,11067,2860.11,UPI,2025-12-21
ORD00039,Joseph Davis,Port Christopherland,South,Sports,Tennis Racket,2,1200,2400,278.68,Card,2024-04-19
ORD00040,Meagan Hall,North Mariahaven,West,Clothing,Jeans,6,1767,10602,2352.31,Card,2024-09-27
ORD00041,Michael Williamson,West Kevinhaven,South,Electronics,Laptop,7,2366,16562,1010.64,Card,2024-12-07
ORD00042,Austin Garcia,North Daniel,North,Furniture,Bed,9,3603,32427,6168.48,Cash,2024-04-24
ORD00043,Jessica Brown,East Stephanie,South,Sports,Football,6,4871,29226,5498.32,UPI,2025-03-16
ORD00044,Kimberly Faulkner,Nelsonton,North,Clothing,Jacket,1,3031,3031,310.74,Card,2024-09-12
ORD00045,Sherry Singleton,South Robert,South,Sports,Gym Gloves,10,1366,13660,3844.48,Cash,2024-08-30
ORD00046,Jeremy Taylor,Luceroshire,South,Groceries,Rice,3,2821,8463,2078.48,Card,2025-02-25
ORD00047,Timothy Anderson,North Dianeview,South,Furniture,Chair,7,417,2919,772.51,Net Banking,2024-08-15
ORD00048,Darren Casey,Haysshire,West,Clothing,Jacket,4,1926,7704,430.78,Card,2024-07-16
ORD00049,Lisa Schmitt,West Meganshire,East,Clothing,T-Shirt,5,2976,14880,3130.31,UPI,2025-02-13
